Class,Order,Family,Genus,Species,"Number, etc.",nuSSU,nuLSU,RPB1,RPB2,mtSSU,TEF1a,edited_name
Dothideomycetes,Trypetheliales,Trypetheliaceae,Trypethelium,eluteriae MPN111,,,GU327726,,,GU327704,JN887436 ,Trypethelium_eluteriae
Dothideomycetes,Trypetheliales,Trypetheliaceae,Mycomicrothelia,oleosa MPN95,,,GU327721,,,GU327697,JN887429 ,Mycomicrothelia_oleosa
Dothideomycetes,Trypetheliales,Trypetheliaceae,Mycomicrothelia,hemisphaerica MPN102,,JN887384 ,GU327719,,,GU327695,JN887427 ,Mycomicrothelia_hemisphaerica
Dothideomycetes,Trypetheliales,Trypetheliaceae,Mycomicrothelia,minutula MPN 567,,,,,,XXXXX,,Mycomicrothelia_minutula
Dothideomycetes,Trypetheliales,Trypetheliaceae,Arthopyrenia,planorbis,,,JN872352 ,,,JN872350 ,JN872355 ,Arthopyrenia_cf_planorbis
Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,pilosella,DAOM 216837 (AFTOL-ID 657),DQ823106,DQ823099,DQ840554,DQ840561,FJ225725,DQ840565,Capronia_pilosella
Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,dermatitidis,WUC176 (AFTOL-ID 668); CBS 668,DQ823107,DQ823100,DQ840555,DQ840562,FJ225740,DQ840566,Exophiala_dermatitidis
Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis,orientalis,CBS 138.64 (AFTOL-ID 1911),DQ471039,DQ470987,DQ471185,DQ470939,FJ190654,DQ471111,Caliciopsis_orientalis
Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,fumigatus,JCM1738; ATCC 1022; UPSC 1771; Af293 ,AB008401,AY660917,XM_747744,XM_741647,AY291258,XM_745295,Aspergillus_fumigatus
Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys,nivea,CBS 100.11; UW-BFCC,FJ358345,AY176750,FJ358408,AF107794,FJ225775,,Byssochlamys_nivea
Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Sphinctrina,turbinata,(AFTOL-ID 1721),EF413631,EF413632,,EF413633,FJ713611,,Sphinctrina_turbinata
Eurotiomycetes,Mycocaliciales,Mycocaliciaceae,Mycocalicium,subtile,Wedin 6353 (S); Wedin 6889 (UPS); Wedin 8492 (S),JX000072,AY853379,JX000141,,AY853330,,Mycocalicium_subtile
Eurotiomycetes,Pyrenulales,Celotheliaceae,Celothelium,cinchonarum,Lucking 17105f (F),,DQ329020,,,DQ328993,,Celothelium_cinchonarum
Eurotiomycetes,Pyrenulales,Pyrenulaceae,Anthracothecium,nanum,(AFTOL-ID 1649),,FJ358271,FJ358403,,FJ225773,,Anthracothecium_nanum
Eurotiomycetes,Pyrenulales,Pyrenulaceae,Lithothelium,septumseptatum,(AFTOL-ID 12),,AY584638,,,AY584620,,Lithothelium_septemseptatum
Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrenula,pseudobufonia,Reeb VR 14-VI-02/5 (Duke) (AFTOL-ID 387),AY641001,AY640962,DQ840558,AY641068,AY584720,,Pyrenula_pseudobufonia
Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrenula,cruenta,Lutzoni 98.06.17-4 (DUKE) (AFTOL-ID 386),AF279406,AF279407,,AY641067,AY584719,,Pyrenula_cruenta
Eurotiomycetes,Pyrenulales,Pyrenulaceae,Pyrgillus,javanicus,"Lutzoni, Miadlikowska & Lücking 03.24.03-9 (DUKE) (AFTOL-ID 342)",DQ823110,DQ823103,,DQ842009,FJ225774,,Pyrgillus_javanicus
