"","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"464",-84.1185985907457,172.237197181491,172.277330960756,1,0.00135844451159058,0.000324644558798667,1,2,NA,NA,NA,-73.6807710703665,163.361542140733,163.853009717525,2,2.06115362243856e-09,0.0113200990814505,2.06115362243856e-09,0.00692851923049062,2.06115362243856e-09,0.0100372557412156,0.00104115689016487,0.00454253795087471,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"465",-76.6983586017939,157.396717203588,157.436850982852,1,0.00128654895268982,0.000199960175812965,1,2,NA,NA,NA,-70.183883333341,156.367766666682,156.859234243474,2,2.06115362243856e-09,0.0084091458087723,2.06115362243856e-09,0.00520127416822088,2.06115362243856e-09,0.00442242222562637,2.06115362243856e-09,0.0014271770080874,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"466",-79.3049385238387,162.609877047677,162.650010826942,1,0.00128851744561576,0.000237538742358723,1,2,NA,NA,NA,-72.0025481707013,160.005096341403,160.496563918194,2,2.06115362243856e-09,0.0112396519818397,2.06115362243856e-09,0.0076234202615029,2.06115362243856e-09,0.00830725576034042,0.00127902115387643,0.00265699748162545,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"467",-85.613786537012,175.227573074024,175.267706853288,1,0.000649344343471898,0.000666140673244813,1,2,NA,NA,NA,-74.3886549532285,164.777309906457,165.268777483249,2,2.06115362243856e-09,0.00995016768517974,2.06115362243856e-09,0.00777676149009664,2.06115362243856e-09,0.0150442175941366,0.0010215081839723,0.00755355156354409,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"468",-77.6914966115104,159.382993223021,159.423127002285,1,0.00114542985609181,0.0002365489216566,1,2,NA,NA,NA,-67.6125867479564,151.225173495913,151.716641072705,2,2.06115362243856e-09,0.00972722275908902,2.06115362243856e-09,0.00395730042706776,2.06115362243856e-09,0.00139611734213761,2.06115362243856e-09,0.00439370366324929,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"469",-82.4751246392922,168.950249278584,168.990383057849,1,0.00137067892982988,0.00024454195041554,1,2,NA,NA,NA,-72.6776262988089,161.355252597618,161.84672017441,2,0.00048103479348235,0.0120363510380118,2.06115362243856e-09,0.00736413917822804,2.06115362243856e-09,0.00970631315808304,2.06115362243856e-09,0.00358601312147165,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"470",-84.660753628774,173.321507257548,173.361641036812,1,0.000572249947849524,0.000594837295706046,1,2,NA,NA,NA,-75.894118630394,167.788237260788,168.27970483758,2,2.06115362243856e-09,0.00752103934186419,2.06115362243856e-09,0.00907619571930923,0.000410263886771259,0.00350160546730781,2.06115362243856e-09,0.00352691737425217,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"471",-80.3563707391521,164.712741478304,164.752875257568,1,0.000560353244065227,0.000585360695419065,1,2,NA,NA,NA,-69.9111001010429,155.822200202086,156.313667778878,2,2.06115362243856e-09,0.00682049847828781,2.06115362243856e-09,0.00987376810250595,4.83922516618541e-05,0.00310109774500146,2.06115362243856e-09,0.00382376408592342,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"472",-88.4028301524416,180.805660304883,180.845794084147,1,0.000935247286009164,0.000632461854352404,1,2,NA,NA,NA,-79.6349922920324,175.269984584065,175.761452160857,2,0.0253078030736575,0.00602594261665431,2.06115362243856e-09,0.00122761912513434,7.68533772805322e-05,2.06115362243856e-09,2.06115362243856e-09,0.00324930760709729,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"473",-82.1844645689534,168.368929137907,168.409062917171,1,0.00131678256946778,0.000327833973294912,1,2,NA,NA,NA,-73.0632274367705,162.126454873541,162.617922450333,2,2.06115362243856e-09,0.00677991978940469,2.06115362243856e-09,0.010625960827199,0.000238540349650379,0.00380674367151258,2.06115362243856e-09,0.00449351625315413,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"474",-89.4473921852371,182.894784370474,182.934918149739,1,0.000659008556857592,0.000775933778451154,1,2,NA,NA,NA,-78.2910309783641,172.582061956728,173.07352953352,2,0.000504121291652299,0.00992906906058889,2.06115362243856e-09,0.00496122048789824,2.06115362243856e-09,0.00969128599446644,2.06115362243856e-09,0.00617234607274127,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"475",-81.3200145983374,166.640029196675,166.680162975939,1,0.000534413383550176,0.000642182372410903,1,2,NA,NA,NA,-70.3002573020279,156.600514604056,157.091982180848,2,2.06115362243856e-09,0.00746635535545372,2.06115362243856e-09,0.0117002017953634,0.000124993362102702,0.00470054278595582,2.06115362243856e-09,0.00432684913354789,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"476",-77.8144507951634,159.628901590327,159.669035369591,1,0.00125694659221477,0.000261916800070935,1,2,NA,NA,NA,-70.5936024876774,157.187204975355,157.678672552147,2,2.06115362243856e-09,0.00732297006985739,2.06115362243856e-09,0.00557944048662637,0.000358302046711562,0.00205883406432524,2.06115362243856e-09,0.00564979423622163,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"477",-85.0809663870546,174.161932774109,174.202066553373,1,0.00130073048310874,0.000364833759452098,1,2,NA,NA,NA,-77.0572500706627,170.114500141325,170.605967718117,2,2.06115362243856e-09,0.0103468334109283,2.06115362243856e-09,0.00577301550819126,6.94675725273227e-05,0.00518098955715811,2.06115362243856e-09,0.00319448500461514,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
